approach,messages,concurrency,total_messages,repeat,mean_ms,min_ms,max_ms,p95_ms,total_ms,throughput_msg_per_s,client_wall_ms,server_peak_cpu_pct,server_mean_cpu_pct,server_peak_rss_mb
threading,10,1,10,1,0.1610,0.1155,0.2072,0.2072,1.7542,5700.6043,1206.6618,0.0000,0.0000,8.8516
threading,10,1,10,2,0.1660,0.1301,0.2101,0.2101,1.8942,5279.2736,1201.8920,0.0000,0.0000,9.0430
threading,10,1,10,3,0.2567,0.1870,0.3382,0.3382,2.7690,3611.4121,1169.9604,0.0000,0.0000,9.1680
threading,10,10,100,1,0.7673,0.1849,3.3770,2.0691,9.3952,10643.7330,1243.2272,0.0000,0.0000,10.1289
threading,10,10,100,2,0.4105,0.1344,1.8084,1.0167,5.9479,16812.6566,1197.3042,0.0000,0.0000,10.7227
threading,10,10,100,3,0.8713,0.1852,3.1137,1.6541,10.7293,9320.2725,1418.8248,0.0000,0.0000,12.2305
threading,10,50,500,1,2.9615,0.1476,25.2687,7.9353,62.9522,7942.5342,1350.6985,31.1779,2.2558,16.3750
threading,10,50,500,2,1.7740,0.1728,6.7237,4.4583,23.3764,21389.0933,1266.1457,0.0000,0.0000,17.4258
threading,10,50,500,3,1.3077,0.1154,9.4475,6.0046,22.4685,22253.3769,1189.8723,31.2766,2.6050,17.7031
threading,10,100,1000,1,2.4755,0.1162,4.7660,3.8702,31.2870,31962.1568,1209.3535,93.4269,5.1853,22.5273
threading,10,100,1000,2,4.2910,0.1846,18.1090,13.9443,58.1392,17200.0991,1403.1156,62.7053,5.5579,26.3086
threading,10,100,1000,3,3.3320,0.1362,11.9679,7.4697,44.2209,22613.7415,1128.9634,253.5775,13.6892,33.9453
threading,10,200,2000,1,3.8045,0.0919,24.7548,7.0378,58.3488,34276.6261,1412.4571,356.7908,14.9880,37.0547
threading,10,200,2000,2,3.2897,0.1138,18.8685,8.4590,48.7403,41033.8057,1493.4430,249.6360,14.5797,39.1016
threading,10,200,2000,3,4.1650,0.0911,10.0747,6.1671,56.1523,35617.4191,1342.3487,163.4349,9.4802,49.3789
threading,100,1,100,1,0.2549,0.1605,0.3519,0.3266,26.3356,3797.1415,1158.9757,0.0000,0.0000,49.3164
